Exam1;Exam2;Decision
1.74;4.69
3.18;8.84
5.85;13.76
10.56;18.22
15.38;18.69
17.03;14.53
14.46;14.99
16.00;13.76
12.31;7.84
5.64;2.22
2.51;2.15
8.15;7.99
12.41;12.76
8.82;12.92
10.97;11.61
10.00;7.53
5.49;4.15
3.64;3.38
4.26;6.92
6.21;9.92
6.21;6.15
8.00;9.61
9.44;11.15
11.59;15.22
14.05;17.61
13.13;10.22
11.54;9.99
10.82;14.15
6.62;8.53
4.72;9.15
8.82;4.61
3.59;5.07
6.97;5.07
7.44;12.15
10.00;15.53
12.87;18.22
12.97;15.30
14.92;12.99
13.49;11.92
10.00;9.53
8.67;6.22
7.18;6.69
5.44;7.92
4.87;5.76
10.00;12.92
8.41;10.92
13.74;13.76
4.10;2.22
8.21;16.07
14.21;19.22
15.64;16.53
2.56;12.22
4.41;16.53
16.21;11.46
10.36;4.53
8.87;9.38
7.69;13.84
12.05;19.22
14.41;11.07
8.97;7.61
6.36;4.07
4.36;3.92
1.33;2.84
4.51;12.46
7.08;11.07
7.13;10.07
7.33;8.53
10.31;10.92
10.92;12.99
9.85;14.38
8.92;12.22
8.21;12.07
9.90;11.92
10.62;8.99
11.79;13.07
12.21;11.22
8.92;14.69
1.54;1.53
8.77;18.76
11.18;7.92
9.33;10.46
14.15;8.22
19.18;4.61
14.56;1.53
15.95;6.22
12.10;3.84
15.03;3.69
13.18;4.84
17.85;9.38
8.92;1.69
1.33;15.46
2.05;18.69
4.67;18.76
2.41;16.46
0.92;11.30
6.56;16.84
3.54;14.61
1.49;8.84
11.95;1.30
16.10;9.22
18.62;6.84
16.97;3.15
14.10;6.15
12.72;14.61
11.95;14.46
10.67;16.76
12.21;16.22
9.38;8.61
10.67;9.92
7.59;10.99
9.38;13.15
7.79;7.15
6.56;7.46
11.54;11.07
11.49;11.99
10.51;12.38
10.72;6.30
6.10;12.07
6.87;15.53
7.18;7.76
5.90;9.07
9.64;17.22
16.92;17.34
12.21;5.96
6.87;3.34
7.85;13.26
8.46;13.72
5.64;10.57
6.92;13.03
12.26;10.19
12.05;12.19
14.10;16.03
5.54;6.88
16.51;19.42
12.87;13.65
11.44;13.88
5.49;5.11
13.23;16.88
14.97;17.26
10.77;15.19
18.21;11.88
17.85;16.11
1.23;6.72
7.85;5.49
13.28;8.96
9.08;15.88
6.36;11.19
11.79;17.65
15.49;14.49
15.03;10.03
